Time,Mean_Speed_30_Turbine35,Power_Turbine35,Mean_Speed_30_Turbine37,Power_Turbine37,Mean_Speed_30_Turbine38,Power_Turbine38,Mean_Speed_30_Turbine39,Power_Turbine39,Mean_Speed_30_Turbine40,Power_Turbine40,Mean_Speed_30_Turbine41,Power_Turbine41,Mean_Speed_30_Turbine42,Power_Turbine42,Mean_Speed_30_Turbine43,Power_Turbine43,Mean_Speed_30_Turbine44,Power_Turbine44,Mean_Speed_30_Turbine45,Power_Turbine45,Mean_Speed_30_Turbine46,Power_Turbine46,Mean_Speed_30_Turbine47,Power_Turbine47,Mean_Speed_30_Turbine48,Power_Turbine48,Mean_Speed_30_Turbine49,Power_Turbine49,Mean_Speed_30_Turbine50,Power_Turbine50,Mean_Speed_30_Turbine51,Power_Turbine51,Mean_Speed_30_Turbine52,Power_Turbine52,Mean_Speed_30_Turbine54,Power_Turbine54,Mean_Speed_30_Turbine55,Power_Turbine55,Mean_Speed_30_Turbine56,Power_Turbine56,Mean_Speed_30_Turbine57,Power_Turbine57,Mean_Speed_30_Turbine58,Power_Turbine58,Mean_Speed_30_Turbine59,Power_Turbine59,Mean_Speed_30_Turbine60,Power_Turbine60
 2019-01-03 05:30:00,19.06,-6,6.588333333,719.1666667,5.431666667,425.1666667,6.183333333,714.8333333,7.256666667,847.1666667,6.741666667,738,6.95,716.5,6.745,746,6.741666667,658.8333333,6.803333333,780,5.666666667,697.3333333,6.978333333,721.6666667,6.243333333,-9.5,6.556666667,713,6.716666667,670,6.175,645,6.473333333,598,6.171666667,630,6.66,809.5,6.64,779.3333333,6.791666667,711.5,6.17,-8.166666667,5.738333333,489.5,6.2,625
 2019-01-03 06:30:00,19.58,-9.5,6.451666667,599.6666667,5.436666667,431.8333333,6.228333333,684.6666667,6.423333333,729.5,6.308333333,661.3333333,6.68,590.5,6.338333333,602.8333333,6.166666667,326.1666667,5.961666667,477.6666667,5.646666667,558.8333333,6.38,513.3333333,6.478333333,389.1666667,5.935,555.3333333,6.711666667,660.1666667,6.215,593.3333333,6.571666667,633.3333333,6.141666667,596.1666667,6.451666667,745.3333333,6.625,766.3333333,6.395,684.5,5.63,56.16666667,6.05,601,5.998333333,497.5
 2019-01-03 07:30:00,21.38833333,-8.333333333,5.985,498,5.783333333,440.5,5.721666667,458.6666667,5.498333333,406,5.641666667,384.5,6.228333333,441.3333333,5.493333333,434.8333333,5.425,-10.5,6.208333333,531.5,5.395,485.1666667,6.281666667,461,5.353333333,203,5.95,510.8333333,5.79,471.6666667,5.511666667,434.1666667,6.32,492.1666667,6.035,451.5,6.18,528,6.308333333,591.6666667,6.566666667,576.6666667,5.265,374.5,5.753333333,477.5,5.75,489.5
 2019-01-03 08:30:00,22.18833333,-11.83333333,6.571666667,760.1666667,7.363333333,878.6666667,6.808333333,889.6666667,7.253333333,849.5,5.94,523.5,6.476666667,548.1666667,6.503333333,617.1666667,5.923333333,-9,6.426666667,614.6666667,5.633333333,536.8333333,6.438333333,533.1666667,7.236666667,935.1666667,6.82,686.3333333,7.075,794,6.651666667,723.1666667,6.521666667,574.8333333,6.373333333,597.6666667,6.978333333,848.6666667,5.95,-5.333333333,6.786666667,801.1666667,6.548333333,678.5,6.488333333,540.8333333,6.633333333,822.1666667
 2019-01-03 09:30:00,21.29166667,-10.83333333,7.28,912.6666667,7.516666667,967.8333333,7.08,1014.166667,7.173333333,961.1666667,7.123333333,855,6.853333333,707,6.66,718.6666667,6.586666667,-9.5,6.755,570.8333333,6.291666667,741.8333333,6.483333333,610.6666667,6.601666667,702.3333333,7.196666667,909.5,7.528333333,944.8333333,7.008333333,879.1666667,6.661666667,652,6.393333333,705.6666667,7.18,1005.333333,6.706666667,-6,7.331666667,984,6.908333333,952.8333333,6.871666667,826.3333333,7.455,1045
 2019-01-03 10:30:00,21.795,-11,6.513333333,684.3333333,6.716666667,744.8333333,6.336666667,726.6666667,6.541666667,765.8333333,5.666666667,517.3333333,6.853333333,640.8333333,6.43,632.3333333,6.3,-9.5,6.36,635,5.723333333,592.6666667,6.585,610.6666667,6.201666667,696.5,6.691666667,748,6.78,784.8333333,6.735,730.5,6.863333333,659.5,6.315,667,6.858333333,827.1666667,6.641666667,-5.833333333,7.063333333,875.3333333,6.396666667,704.8333333,6.463333333,651.8333333,6.661666667,786.5
 2019-01-03 11:30:00,22.085,-16.16666667,5.413333333,204.1666667,5.443333333,318.1666667,5.598333333,263.1666667,5.908333333,504.5,4.753333333,238,5.973333333,367.8333333,5.376666667,375.1666667,5.255,-9.333333333,5.308333333,355,5.146666667,368.8333333,6.015,391.8333333,5.018333333,-8.5,5.185,268.1666667,5.378333333,226.3333333,5.59,336.6666667,5.938333333,394,5.445,289,5.958333333,535.5,5.906666667,-4.833333333,6.341666667,618.3333333,5.371666667,415,5.196666667,366.3333333,5.853333333,468.5
 2019-01-03 12:30:00,17.79333333,-9.833333333,5.455,341.3333333,5.215,302.8333333,4.97,317.3333333,5.186666667,355,4.875,218.3333333,5.793333333,354.5,5.72,396.3333333,5.206666667,-10,5.178333333,304,4.856666667,308.8333333,5.413333333,293,5.313333333,-10.5,5.563333333,402.6666667,5.283333333,-10.66666667,5.341666667,351,6.053333333,354.6666667,5.315,269,5.461666667,368.5,5.356666667,136.1666667,6.056666667,448.1666667,5.375,329.8333333,5.318333333,349.1666667,5.256666667,353.5
 2019-01-03 13:30:00,23.345,-8,5.968333333,437.8333333,5.466666667,403.3333333,5.39,413.1666667,5.565,422.3333333,5.705,395.3333333,5.391666667,249.6666667,5.05,294.6666667,4.763333333,-9.333333333,4.398333333,179.5,4.153333333,209.3333333,5.288333333,240.6666667,5.298333333,-11.5,4.82,303.8333333,5.038333333,-11.66666667,5.325,348.6666667,4.846666667,197.6666667,5.333333333,306.3333333,5.425,382.1666667,5.461666667,356.1666667,5.72,395.5,5.058333333,350.8333333,5.638333333,393.6666667,5.471666667,416.5
 2019-01-03 14:30:00,4.328333333,-9.833333333,5.506666667,411.5,5.796666667,400.8333333,5.583333333,451.5,5.848333333,500.1666667,5.718333333,391.8333333,5.44,185.1666667,4.385,175,4.593333333,195.3333333,4.843333333,170.8333333,4.365,152.6666667,5.305,220.1666667,5.403333333,126.5,4.935,255.5,4.701666667,-2.333333333,5.185,280.6666667,5.363333333,204.1666667,5.016666667,253.8333333,5.466666667,433.3333333,5.39,344.1666667,5.798333333,352.5,5.308333333,-4,5.37,340,5.828333333,473
